model,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,cv_folds_used,cv_accuracy_mean,cv_accuracy_std,cv_precision_macro_mean,cv_recall_macro_mean,cv_f1_macro_mean
Random Forest,0.9255555555555556,0.926075354502451,0.9255555555555555,0.9256553576977922,10,0.9296666666666666,0.011200198410940967,0.9300129107802645,0.9296666666666666,0.9295415764237778
Extra Trees,0.9177777777777778,0.9191896313034658,0.9177777777777777,0.9181766872947122,10,0.9293333333333333,0.010306416555826849,0.9298927919918732,0.9293333333333333,0.9292859069798712
KNN,0.8077777777777778,0.8118860288262463,0.8077777777777777,0.806245384955621,10,0.8290000000000001,0.020387904911164028,0.8332205898119884,0.829,0.8281364242624024
